Time(s),Arabica_kHz,Robusta_kHz
0,8.92,8.99
10,8.97,9.04
20,8.97,9.02
30,8.94,9.04
33,1.91,1.59
34.87,2.3,1.86
36.85,2.55,2.13
38.95,2.7,2.33
41.16,2.89,2.38
43.49,3.06,2.43
45.96,3.21,2.57
48.57,3.38,2.65
51.33,3.58,2.67
54.24,3.75,2.67
57.32,3.97,2.7
60.58,4.17,2.67
64.02,4.36,2.7
67.65,4.53,2.7
71.49,4.75,2.72
75.55,5.05,2.7
79.84,5.22,2.72
84.37,5.51,2.7
89.16,5.78,2.79
94.23,6,2.77
99.57,6.22,2.92
105.23,6.52,3.04
111.2,6.79,3.09
117.52,7.11,3.26
124.19,7.28,3.26
131.24,7.55,3.38
138.69,7.79,3.41
146.56,7.99,3.45
154.88,8.21,3.45
163.68,8.38,3.58
172.97,8.48,3.72
182.79,8.6,3.97
193.17,8.7,4.07
204.13,8.75,4.46
215.72,8.82,4.53
227.97,8.85,4.68
240.91,8.89,5.15
254.59,8.92,5.22
269.04,8.94,5.71
284.32,8.94,5.91
300.46,8.94,6.44
317.52,8.92,6.86
335.54,8.92,7.23
354.59,8.89,7.94
374.73,8.92,7.91
396,8.92,7.96
